iter	Passed	Remaining
0	154	154324
1	165	82831
2	177	58937
3	189	47181
4	200	39944
5	208	34611
6	216	30645
7	222	27614
8	229	25229
9	236	23393
10	264	23737
11	275	22698
12	284	21631
13	292	20591
14	299	19644
15	306	18821
16	312	18047
17	318	17386
18	324	16761
19	331	16249
20	338	15759
21	343	15290
22	350	14888
23	356	14490
24	362	14119
25	369	13829
26	375	13519
27	381	13243
28	387	12984
29	393	12730
30	400	12518
31	406	12295
32	412	12082
33	418	11897
34	424	11714
35	431	11545
36	437	11387
37	443	11223
38	449	11086
39	455	10934
40	461	10794
41	468	10675
42	473	10547
43	480	10433
44	486	10316
45	491	10199
46	501	10176
47	507	10070
48	514	9982
49	521	9900
50	527	9816
51	535	9762
52	542	9686
53	549	9622
54	556	9554
55	562	9488
56	569	9419
57	575	9354
58	583	9301
59	590	9249
60	597	9201
61	605	9160
62	612	9108
63	619	9057
64	625	9000
65	632	8955
66	639	8902
67	646	8860
68	653	8818
69	660	8776
70	667	8727
71	673	8681
72	680	8644
73	686	8596
74	693	8551
75	699	8500
76	704	8450
77	711	8409
78	717	8366
79	724	8326
80	730	8289
81	736	8248
82	743	8209
83	748	8166
84	754	8126
85	761	8097
86	767	8059
87	774	8021
88	779	7981
89	785	7943
90	792	7915
91	798	7882
92	804	7847
93	811	7820
94	817	7788
95	823	7757
96	829	7723
97	835	7691
98	841	7661
99	847	7628
100	853	7595
101	860	7572
102	865	7540
103	871	7511
104	877	7483
105	883	7451
106	889	7425
107	895	7395
108	900	7364
109	907	7339
110	912	7311
111	918	7283
112	925	7262
113	930	7234
114	937	7212
115	944	7199
116	951	7180
117	958	7166
118	964	7142
119	971	7121
120	977	7101
121	983	7079
122	990	7059
123	996	7038
124	1002	7017
125	1008	6997
126	1015	6979
127	1024	6976
128	1033	6980
129	1043	6982
130	1054	6993
131	1063	6995
132	1071	6983
133	1080	6980
134	1086	6960
135	1091	6936
136	1097	6912
137	1103	6893
138	1109	6871
139	1115	6852
140	1121	6833
141	1127	6813
142	1134	6800
143	1140	6781
144	1146	6761
145	1152	6743
146	1158	6721
147	1164	6703
148	1170	6684
149	1176	6664
150	1182	6647
151	1188	6628
152	1193	6609
153	1199	6591
154	1206	6577
155	1212	6558
156	1217	6539
157	1223	6521
158	1229	6502
159	1235	6485
160	1241	6467
161	1246	6448
162	1253	6434
163	1258	6417
164	1265	6402
165	1270	6384
166	1276	6365
167	1281	6348
168	1287	6332
169	1293	6314
170	1299	6298
171	1305	6284
172	1311	6268
173	1317	6253
174	1322	6236
175	1328	6221
176	1334	6205
177	1340	6190
178	1346	6176
179	1352	6163
180	1358	6148
181	1364	6132
182	1370	6117
183	1376	6102
184	1381	6087
185	1387	6072
186	1393	6057
187	1399	6045
188	1405	6031
189	1411	6016
190	1417	6002
191	1423	5988
192	1429	5976
193	1434	5961
194	1440	5946
195	1446	5935
196	1452	5920
197	1458	5906
198	1464	5893
199	1469	5879
200	1475	5865
201	1481	5852
202	1486	5837
203	1495	5836
204	1501	5823
205	1507	5809
206	1513	5799
207	1519	5785
208	1525	5773
209	1531	5760
210	1537	5747
211	1543	5735
212	1548	5722
213	1554	5708
214	1560	5696
215	1565	5683
216	1571	5670
217	1577	5658
218	1583	5645
219	1588	5633
220	1594	5621
221	1600	5609
222	1606	5596
223	1612	5585
224	1617	5573
225	1623	5561
226	1629	5548
227	1634	5535
228	1640	5524
229	1646	5512
230	1652	5500
231	1658	5489
232	1664	5477
233	1669	5465
234	1675	5453
235	1681	5442
236	1686	5429
237	1692	5418
238	1698	5407
239	1704	5396
240	1710	5388
241	1716	5376
242	1722	5365
243	1727	5353
244	1733	5342
245	1739	5331
246	1745	5320
247	1750	5308
248	1756	5297
249	1762	5286
250	1768	5276
251	1774	5266
252	1780	5257
253	1786	5245
254	1791	5234
255	1797	5225
256	1803	5215
257	1809	5204
258	1815	5192
259	1821	5183
260	1826	5171
261	1832	5160
262	1837	5150
263	1843	5139
264	1848	5128
265	1854	5118
266	1860	5108
267	1866	5097
268	1872	5087
269	1877	5077
270	1883	5066
271	1889	5057
272	1895	5046
273	1900	5036
274	1907	5028
275	1913	5018
276	1919	5009
277	1924	4998
278	1930	4988
279	1936	4979
280	1942	4969
281	1947	4959
282	1953	4949
283	1959	4939
284	1965	4930
285	1971	4921
286	1976	4911
287	1983	4903
288	1989	4895
289	1995	4886
290	2001	4876
291	2007	4866
292	2013	4857
293	2018	4847
294	2024	4838
295	2030	4829
296	2036	4820
297	2042	4810
298	2048	4801
299	2053	4792
300	2059	4783
301	2065	4774
302	2071	4765
303	2077	4755
304	2083	4746
305	2088	4737
306	2094	4727
307	2100	4718
308	2106	4709
309	2111	4700
310	2117	4691
311	2123	4682
312	2129	4673
313	2134	4664
314	2140	4655
315	2146	4646
316	2152	4638
317	2158	4628
318	2164	4620
319	2170	4611
320	2175	4602
321	2181	4593
322	2187	4584
323	2192	4575
324	2198	4566
325	2204	4557
326	2210	4549
327	2216	4540
328	2222	4532
329	2228	4523
330	2234	4515
331	2239	4506
332	2245	4498
333	2251	4489
334	2257	4481
335	2263	4472
336	2268	4463
337	2274	4455
338	2281	4447
339	2286	4438
340	2292	4430
341	2299	4423
342	2305	4415
343	2311	4407
344	2317	4399
345	2322	4390
346	2328	4382
347	2334	4373
348	2340	4365
349	2345	4356
350	2351	4348
351	2357	4340
352	2363	4332
353	2369	4323
354	2375	4315
355	2381	4307
356	2387	4300
357	2393	4292
358	2399	4283
359	2404	4275
360	2411	4267
361	2416	4259
362	2422	4251
363	2428	4243
364	2434	4235
365	2440	4227
366	2446	4220
367	2454	4214
368	2460	4207
369	2467	4201
370	2474	4194
371	2485	4196
372	2492	4189
373	2499	4183
374	2505	4176
375	2513	4171
376	2519	4164
377	2526	4157
378	2532	4149
379	2538	4141
380	2545	4135
381	2551	4127
382	2558	4121
383	2564	4114
384	2570	4105
385	2578	4101
386	2583	4092
387	2591	4087
388	2597	4079
389	2603	4071
390	2611	4067
391	2617	4059
392	2624	4054
393	2630	4046
394	2636	4038
395	2644	4033
396	2650	4025
397	2657	4019
398	2663	4011
399	2668	4003
400	2676	3998
401	2682	3990
402	2689	3984
403	2696	3978
404	2702	3970
405	2710	3965
406	2716	3957
407	2723	3951
408	2729	3943
409	2734	3935
410	2742	3929
411	2748	3922
412	2755	3916
413	2762	3909
414	2767	3901
415	2775	3896
416	2781	3888
417	2788	3882
418	2794	3874
419	2800	3866
420	2807	3860
421	2813	3853
422	2821	3848
423	2827	3841
424	2834	3835
425	2842	3829
426	2849	3823
427	2857	3818
428	2863	3811
429	2871	3805
430	2877	3799
431	2883	3791
432	2889	3784
433	2895	3776
434	2902	3769
435	2908	3762
436	2914	3755
437	2920	3747
438	2926	3739
439	2932	3731
440	2938	3724
441	2944	3716
442	2950	3709
443	2957	3703
444	2962	3695
445	2969	3688
446	2975	3680
447	2981	3673
448	2987	3666
449	2993	3658
450	2999	3651
451	3005	3643
452	3011	3636
453	3017	3628
454	3023	3621
455	3030	3614
456	3036	3607
457	3041	3599
458	3048	3592
459	3053	3585
460	3059	3577
461	3066	3570
462	3072	3563
463	3078	3555
464	3084	3548
465	3090	3541
466	3096	3534
467	3102	3526
468	3108	3519
469	3114	3512
470	3120	3504
471	3126	3497
472	3132	3489
473	3138	3482
474	3144	3475
475	3150	3467
476	3155	3460
477	3161	3453
478	3167	3445
479	3173	3438
480	3180	3431
481	3185	3423
482	3191	3416
483	3198	3409
484	3204	3402
485	3209	3394
486	3215	3387
487	3221	3380
488	3228	3373
489	3233	3365
490	3239	3358
491	3245	3350
492	3251	3343
493	3256	3335
494	3262	3328
495	3268	3321
496	3274	3313
497	3280	3307
498	3286	3299
499	3292	3292
500	3298	3285
501	3303	3277
502	3310	3270
503	3316	3263
504	3321	3255
505	3327	3249
506	3333	3241
507	3339	3234
508	3345	3227
509	3351	3220
510	3357	3212
511	3363	3205
512	3368	3198
513	3374	3191
514	3381	3184
515	3386	3176
516	3392	3169
517	3398	3162
518	3404	3155
519	3410	3148
520	3416	3141
521	3422	3133
522	3428	3126
523	3434	3119
524	3440	3112
525	3446	3105
526	3451	3098
527	3457	3091
528	3463	3083
529	3468	3076
530	3478	3072
531	3483	3064
532	3490	3058
533	3496	3051
534	3502	3044
535	3508	3037
536	3514	3030
537	3519	3022
538	3525	3015
539	3531	3008
540	3537	3001
541	3543	2994
542	3549	2987
543	3555	2980
544	3561	2973
545	3567	2966
546	3573	2959
547	3579	2952
548	3585	2945
549	3592	2939
550	3598	2931
551	3603	2924
552	3609	2917
553	3615	2910
554	3621	2903
555	3626	2896
556	3632	2888
557	3638	2881
558	3644	2874
559	3649	2867
560	3655	2860
561	3661	2853
562	3667	2846
563	3673	2839
564	3679	2832
565	3685	2825
566	3691	2818
567	3696	2811
568	3702	2804
569	3708	2797
570	3714	2790
571	3720	2784
572	3726	2776
573	3732	2769
574	3738	2763
575	3744	2756
576	3750	2749
577	3755	2742
578	3761	2735
579	3767	2728
580	3773	2721
581	3779	2714
582	3785	2707
583	3790	2700
584	3796	2693
585	3802	2686
586	3808	2679
587	3814	2672
588	3820	2665
589	3825	2658
590	3831	2651
591	3837	2644
592	3843	2637
593	3849	2631
594	3854	2623
595	3860	2616
596	3866	2610
597	3872	2603
598	3877	2595
599	3883	2589
600	3890	2582
601	3895	2575
602	3901	2568
603	3907	2562
604	3913	2555
605	3919	2548
606	3925	2541
607	3931	2534
608	3937	2528
609	3943	2520
610	3949	2514
611	3954	2507
612	3960	2500
613	3966	2493
614	3971	2486
615	3977	2479
616	3983	2472
617	3988	2465
618	3994	2458
619	4000	2451
620	4006	2445
621	4012	2438
622	4018	2431
623	4024	2425
624	4031	2418
625	4036	2411
626	4042	2404
627	4048	2397
628	4054	2391
629	4059	2384
630	4065	2377
631	4071	2370
632	4076	2363
633	4082	2356
634	4088	2350
635	4094	2343
636	4100	2336
637	4105	2329
638	4111	2322
639	4117	2316
640	4123	2309
641	4129	2302
642	4135	2296
643	4141	2289
644	4146	2282
645	4152	2275
646	4158	2268
647	4163	2261
648	4169	2255
649	4176	2248
650	4182	2242
651	4187	2235
652	4193	2228
653	4199	2221
654	4204	2214
655	4210	2207
656	4216	2201
657	4222	2194
658	4228	2188
659	4234	2181
660	4239	2174
661	4245	2167
662	4251	2161
663	4257	2154
664	4262	2147
665	4268	2140
666	4274	2134
667	4280	2127
668	4286	2120
669	4292	2114
670	4298	2107
671	4303	2100
672	4309	2094
673	4315	2087
674	4321	2080
675	4326	2073
676	4332	2067
677	4338	2060
678	4344	2053
679	4350	2047
680	4356	2040
681	4361	2033
682	4367	2027
683	4373	2020
684	4379	2013
685	4384	2007
686	4390	2000
687	4396	1993
688	4402	1987
689	4408	1980
690	4413	1973
691	4419	1967
692	4425	1960
693	4431	1954
694	4437	1947
695	4444	1941
696	4449	1934
697	4456	1928
698	4461	1921
699	4469	1915
700	4475	1908
701	4480	1902
702	4486	1895
703	4492	1888
704	4497	1882
705	4503	1875
706	4509	1868
707	4514	1862
708	4521	1855
709	4526	1849
710	4532	1842
711	4539	1836
712	4544	1829
713	4550	1822
714	4556	1816
715	4561	1809
716	4568	1803
717	4573	1796
718	4579	1789
719	4585	1783
720	4591	1776
721	4596	1770
722	4603	1763
723	4608	1756
724	4614	1750
725	4620	1743
726	4626	1737
727	4632	1730
728	4638	1724
729	4643	1717
730	4649	1710
731	4655	1704
732	4660	1697
733	4666	1691
734	4672	1684
735	4678	1678
736	4684	1671
737	4690	1665
738	4696	1658
739	4703	1652
740	4710	1646
741	4717	1640
742	4725	1634
743	4731	1628
744	4739	1622
745	4745	1615
746	4752	1609
747	4757	1602
748	4764	1596
749	4771	1590
750	4777	1583
751	4784	1577
752	4789	1571
753	4795	1564
754	4801	1558
755	4807	1551
756	4812	1544
757	4819	1538
758	4825	1532
759	4831	1525
760	4838	1519
761	4844	1513
762	4851	1506
763	4857	1500
764	4864	1494
765	4870	1487
766	4876	1481
767	4883	1475
768	4889	1468
769	4895	1462
770	4902	1455
771	4908	1449
772	4915	1443
773	4921	1437
774	4927	1430
775	4934	1424
776	4940	1417
777	4947	1411
778	4953	1405
779	4959	1398
780	4966	1392
781	4971	1385
782	4977	1379
783	4983	1373
784	4989	1366
785	4996	1360
786	5003	1354
787	5009	1347
788	5016	1341
789	5022	1335
790	5029	1328
791	5035	1322
792	5041	1316
793	5048	1309
794	5053	1303
795	5059	1296
796	5065	1290
797	5071	1283
798	5079	1277
799	5085	1271
800	5091	1264
801	5097	1258
802	5103	1251
803	5109	1245
804	5116	1239
805	5123	1233
806	5130	1227
807	5136	1220
808	5143	1214
809	5149	1207
810	5155	1201
811	5162	1195
812	5168	1188
813	5175	1182
814	5181	1176
815	5187	1169
816	5193	1163
817	5199	1156
818	5206	1150
819	5212	1144
820	5217	1137
821	5224	1131
822	5229	1124
823	5235	1118
824	5241	1111
825	5247	1105
826	5253	1098
827	5259	1092
828	5265	1086
829	5271	1079
830	5277	1073
831	5283	1066
832	5290	1060
833	5295	1054
834	5301	1047
835	5308	1041
836	5314	1034
837	5321	1028
838	5327	1022
839	5333	1015
840	5340	1009
841	5345	1003
842	5351	996
843	5357	990
844	5364	984
845	5372	977
846	5377	971
847	5384	965
848	5390	958
849	5397	952
850	5404	946
851	5411	940
852	5418	933
853	5425	927
854	5431	921
855	5438	914
856	5445	908
857	5452	902
858	5462	896
859	5469	890
860	5476	884
861	5483	877
862	5490	871
863	5496	865
864	5503	858
865	5510	852
866	5517	846
867	5524	840
868	5530	833
869	5537	827
870	5544	821
871	5550	814
872	5557	808
873	5564	802
874	5570	795
875	5577	789
876	5584	783
877	5591	776
878	5598	770
879	5605	764
880	5612	758
881	5619	751
882	5626	745
883	5633	739
884	5640	732
885	5646	726
886	5653	720
887	5659	713
888	5665	707
889	5670	700
890	5676	694
891	5683	688
892	5688	681
893	5695	675
894	5702	668
895	5707	662
896	5713	656
897	5719	649
898	5724	643
899	5730	636
900	5736	630
901	5742	623
902	5748	617
903	5753	610
904	5758	604
905	5765	598
906	5770	591
907	5776	585
908	5782	578
909	5787	572
910	5793	566
911	5798	559
912	5804	553
913	5810	546
914	5815	540
915	5821	533
916	5827	527
917	5833	521
918	5839	514
919	5845	508
920	5851	501
921	5856	495
922	5862	489
923	5868	482
924	5874	476
925	5880	469
926	5885	463
927	5891	457
928	5898	450
929	5904	444
930	5910	438
931	5916	431
932	5922	425
933	5928	418
934	5933	412
935	5939	406
936	5945	399
937	5950	393
938	5957	387
939	5963	380
940	5969	374
941	5976	367
942	5982	361
943	5988	355
944	5993	348
945	5999	342
946	6005	336
947	6011	329
948	6016	323
949	6022	316
950	6028	310
951	6034	304
952	6039	297
953	6045	291
954	6051	285
955	6056	278
956	6062	272
957	6068	266
958	6073	259
959	6079	253
960	6085	246
961	6091	240
962	6097	234
963	6103	227
964	6109	221
965	6115	215
966	6121	208
967	6127	202
968	6132	196
969	6138	189
970	6144	183
971	6150	177
972	6156	170
973	6161	164
974	6167	158
975	6173	151
976	6179	145
977	6184	139
978	6191	132
979	6196	126
980	6202	120
981	6208	113
982	6214	107
983	6219	101
984	6225	94
985	6231	88
986	6237	82
987	6242	75
988	6248	69
989	6255	63
990	6261	56
991	6267	50
992	6273	44
993	6279	37
994	6285	31
995	6291	25
996	6297	18
997	6303	12
998	6309	6
999	6314	0
